latitude,longitude,CityName,City,State,Remaining_2010,Remaining_2011,Remaining_2012,Remaining_2013,Remaining_2014,Remaining_2015,Remaining_2016,Remaining_2017
34.754052,-77.430241,"Jacksonville,  North Carolina",Jacksonville, North Carolina,100,96.28,97.78,96.87,95,95.08,93.05,93.05
38.3506,-81.633281,"Charleston,  West Virginia",Charleston, West Virginia,100,99.4,99.14,98.75,97.72,96.4,95.11,93.47
35.942383,-77.795695,"Rocky Mount,  North Carolina",Rocky Mount, North Carolina,100,99.54,98.41,97.68,96.97,95.51,95.29,94.5
31.578206,-84.155681,"Albany,  Georgia",Albany, Georgia,100,100.61,100.14,98.67,98.09,96.78,95.52,94.52
43.017177,-83.723602,"Flint,  Michigan",Flint, Michigan,100,99.21,98.2,97.45,96.59,95.8,95.06,94.53
42.348664,-83.056737,"Detroit,  Michigan",Detroit, Michigan,100,99.1,98.36,97.16,95.84,95.39,95,94.66
43.420039,-83.949036,"Saginaw,  Michigan",Saginaw, Michigan,100,99.29,98.71,97.81,96.86,95.75,95.1,94.73
41.602129,-87.337137,"Gary,  Indiana",Gary, Indiana,100,99.37,98.73,97.99,97.35,96.33,95.49,94.76
39.845416,-88.952415,"Decatur,  Illinois",Decatur, Illinois,100,99.74,99.12,98.48,97.48,96.39,95.62,94.79
41.583366,-87.500043,"Hammond,  Indiana",Hammond, Indiana,100,99.34,98.65,97.87,97.33,96.31,95.68,94.93
32.522183,-93.765194,"Shreveport,  Louisiana",Shreveport, Louisiana,100,100.43,100.48,99.56,98.49,97.89,96.77,95.6
42.129066,-80.085242,"Erie,  Pennsylvania",Erie, Pennsylvania,100,99.79,99.57,98.81,98,97.33,96.59,95.69
34.608685,-98.39033,"Lawton,  Oklahoma",Lawton, Oklahoma,100,100.28,100.34,98.63,98.45,97.54,95.82,95.77
42.271395,-89.093966,"Rockford,  Illinois",Rockford, Illinois,100,99.31,98.75,98.31,97.52,96.93,96.5,96.01
32.299038,-90.184769,"Jackson,  Mississippi",Jackson, Mississippi,100,100.78,100.6,99.51,98.97,98.29,97.28,96.11
41.678675,-83.512728,"Toledo,  Ohio",Toledo, Ohio,100,99.41,98.63,98.3,97.74,97.43,97.08,96.34
38.898684,-83.206016,"Youngs,  Ohio",Youngs, Ohio,100,99.5,98.75,97.85,97.38,96.71,96.19,96.56
42.32226,-83.176314,"Dearborn,  Michigan",Dearborn, Michigan,100,99.25,98.91,98.04,97.93,97.43,96.91,96.57
41.481993,-81.798191,"Lakewood,  Ohio",Lakewood, Ohio,100,99.3,98.8,98.45,98.13,97.6,97.06,96.58
38.627273,-90.197889,"St. Louis,  Missouri",St. Louis, Missouri,100,99.92,100,99.75,99.49,99.03,98.05,96.64
43.103093,-79.030262,"Niagara Falls,  New York",Niagara Falls, New York,100,99.53,99.08,98.71,98.23,97.61,97.1,96.65
42.336982,-83.273263,"Dearborn Heights,  Michigan",Dearborn Heights, Michigan,100,99.32,98.99,98.15,98.04,97.56,97.1,96.74
39.94484,-75.119891,"Camden,  New Jersey",Camden, New Jersey,100,100.38,100.06,99.63,98.97,98.46,96.76,96.78
