latitude,longitude,name,desc,CityName,State,Est_2010,Est_2011,Est_2012,Est_2013,Est_2014,Est_2015,Est_2016,Est_2017,TotPopCh_10_17,PercCh_10_17,Rank_MostDecline_10_17
34.754052,-77.430241,"Jacksonville,  North Carolina","Jacksonville, Onslow County, NC, US",Jacksonville, North Carolina,77854,74955,76122,75418,73959,74021,72444,72447,-5407,-6.945050993,1
38.3506,-81.633281,"Charleston,  West Virginia","Charleston, Kanawha County, WV, US",Charleston, West Virginia,51277,50970,50838,50635,50109,49431,48769,47929,-3348,-6.52924313,2
35.942383,-77.795695,"Rocky Mount,  North Carolina","Rocky Mount, Edgecombe County, NC, US",Rocky Mount, North Carolina,57696,57429,56780,56355,55950,55108,54979,54523,-3173,-5.499514698,3
31.578206,-84.155681,"Albany,  Georgia","Albany, Dougherty County, GA, US",Albany, Georgia,77420,77889,77529,76390,75942,74929,73953,73179,-4241,-5.477912684,4
43.017177,-83.723602,"Flint,  Michigan","Flint, Genesee County, MI, US",Flint, Michigan,102024,101220,100187,99423,98548,97738,96985,96448,-5576,-5.465380695,5
42.348664,-83.056737,"Detroit,  Michigan","Detroit, Wayne County, MI, US",Detroit, Michigan,711043,704640,699385,690845,681499,678250,675480,673104,-37939,-5.335682933,6
43.420039,-83.949036,"Saginaw,  Michigan","Saginaw, Saginaw County, MI, US",Saginaw, Michigan,51387,51021,50725,50261,49773,49201,48869,48677,-2710,-5.273707358,7
41.602129,-87.337137,"Gary,  Indiana","Gary, Lake County, IN, US",Gary, Indiana,80211,79706,79192,78597,78085,77267,76595,76008,-4203,-5.239929685,8
39.845416,-88.952415,"Decatur,  Illinois","Decatur, Macon County, IL, US",Decatur, Illinois,76140,75944,75473,74980,74219,73388,72805,72174,-3966,-5.208825847,9
41.583366,-87.500043,"Hammond,  Indiana","Hammond, Lake County, IN, US",Hammond, Indiana,80714,80181,79625,78996,78561,77735,77230,76618,-4096,-5.074708229,10
32.522183,-93.765194,"Shreveport,  Louisiana","Shreveport, Caddo Parish, LA, US",Shreveport, Louisiana,200884,201747,201848,199999,197852,196649,194394,192036,-8848,-4.404531969,11
42.129066,-80.085242,"Erie,  Pennsylvania","Erie, Erie County, PA, US",Erie, Pennsylvania,101758,101543,101322,100546,99721,99037,98289,97369,-4389,-4.313174394,12
